@relation training-set

@attribute @class@ {Social,Technology,Politics,Economy}
@attribute content string

@data
Social,'gloucest v connacht gloucest face connacht in rugbi challeng cup quarterfin'
Social,'glo gloucest v connacht gloucest face connacht in rugbi challeng cup quarterfin'
Technology,'union competit author last year reject offer googl regard antitrust issu'
Social,'investig illeg secret civil hear crimin matter most seriou natur whistleblowerkid ge'
Technology,'report prepar file antitrust charg googl union competit author l'
Social,'flag lgbt peopl nazisoviet jewish islam state iraqi syrian republ'
Technology,'goog probe googl inc goog antitrust'
Technology,'about prosecut googl anticompetit practic'
Politics,'ecb account monetari polici meet'
Politics,'polit winstonchurchil on founder human right act which tori wish abolish'
Politics,'commend jonathan save nigeria chao parti help nurtur'
Economy,'economi caricom have trade arrang latin america see eclac report in'
Politics,'mqm parliamentarian visit counterpart in'
Politics,'latest post commend jonathan save nigeria chao'
Politics,'naija commend jonathan save nigeria chao'
Social,'here on'
Politics,'paneuropean nazi parti apf seek financi support veri out destroi'
Social,'trust in hit alltim low a gargantuan gravi train expand public trust in'
Social,'srilanka govern todai assur it remedi root caus injusticediscrimin prejudic'
Technology,'readi throw antitrust book googl readi file antitrust charg'
Social,'your welcom us adapt mine'
Social,'doe have dai off worka employe unionto go bbcdp'
Technology,'friction between regul america big tech compani show no sign eas in'
Politics,'video commend jonathan save nigeria chao come again'
Economy,'urg accept russian ga offer busi new inform'
Technology,'chinatopix prepar new antitrust case googl tech chinatopix secur'
Social,'no sea food todai feel realli sick have work my paper confer'
Social,'last judgment daniel cohnbendit revolutionari agent nato verdict guilti'
Social,'poll do you think should leav sai out'
Technology,'regul review complaint file uber'
Politics,'law which goe beyond those it fellow member have pass allow someon'
Technology,'report prepar file antitrust charg googl union competit author'
Economy,'council stop ecig ban'
Economy,'ban fur farm in'
Social,'love idea sinc never allow collaps in my life tenur'
Economy,'seal meat produc inuit commun could soon sold in after'
Technology,'cnet uber sai franc spain broke law try ban it servic'
Social,'bdnew bangladesh stand violent extrem in bangladesh call upon'
Technology,'uber sai franc spain broke law try ban it servic'
Social,'welcom naija everyth media humbl histor presid made some awesom'
Politics,'law core text seri humphrei matthew'
Technology,'lai groundwork antitrust charg googl googl antitrust'
Technology,'sistemass cnet uber sai franc spain broke law try ban it servic'
Technology,'cnet uber sai franc spain broke law try ban it'
Social,'thi movi spark convers throughout movi we had ladi gather my hous last'
Economy,'under increas pressur curtail it anticompetit subsidi farmer'
Technology,'mt competit cab uber file competit complaint nation govt'
Social,'can porto director just in charg bro'
Politics,'humbl histor presid made some awesom comment behalf presid jonathan'
Technology,'prepar it billion case googl'
Social,'post photo facebook in album film festiv inaugur pic'
Social,'french have highest femal life expect in factofthedai could all delici goatschees'
Social,'sunset sovereign power'
Social,'form partnership winner reveal lbf open th'
Economy,'processnew scrap milk quota after year scrap milk'
Technology,'a in unioni about sue googl'
Social,'french presid euro oz silver free gift'
Politics,'african mugab'
Economy,'introduc exposur rule across euro area greatli increas stabil monetari'
Politics,'must read made some comment behalf presid jonathan'
